"LOCUSTAG","GENE","EXP_70_TestInt","EXP_70_CntlInt","EXP_71_TestInt","EXP_71_CntlInt","EXP_72_TestInt","EXP_72_CntlInt","EXP_73_TestInt","EXP_73_CntlInt","EXP_74_TestInt","EXP_74_CntlInt","EXP_75_TestInt","EXP_75_CntlInt","EXP_76_TestInt","EXP_76_CntlInt","EXP_77_TestInt","EXP_77_CntlInt","EXP_78_TestInt","EXP_78_CntlInt","EXP_79_TestInt","EXP_79_CntlInt","EXP_80_TestInt","EXP_80_CntlInt","mean_exp","stdev_exp","RSD"
"b3563","yiaB",1150.863,1760.171,3532.564,3217,5227.843,850.401,1180.351,900.761,977.532,675.12,1751.044,1400.766,1037.575,1026.132,854.241,1227.494,2293.762,2295.352,360.536,516.993,5143.376,6478.751,1993.574,1518.27030268413,0.761582114676518
"b3564","xylB",1309.227,1001.19,739.292,995.999,3178.213,4096,2920.501,3209.204,377.021,352.994,1254.59,1140.144,729.366,365.442,648.292,478.873,781.445,692.658,401.846,437.609,1928.816,2201.849,1329.11686363636,932.822735215906,0.701836505680752
"b3565","xylA",2253.575,1513.843,1947.625,3652.073,3324.681,6378.493,3756.049,5701.003,883.141,1356.337,1590.208,2474.635,140.556,149.189,364.178,366.965,716.836,735.458,372.992,384.543,4468.268,3849.619,2108.19395454545,1613.95520301054,0.765562959485158
"b3566","xylF",3589.333,1751.651,2397.807,5086.65,3267.565,8306.356,3800.57,7393.286,1028.624,1619.688,2300.928,3322.377,969.771,1292.994,1061.582,1629.259,621.452,726.339,534.668,579.032,3314.326,4203.863,2672.64186363636,1875.11013580326,0.701594239511017
"b3567","xylG",5397.217,1942.905,2510.919,5914.334,4600.261,14977.404,4493.114,10459.31,727.095,1328.884,2134.23,2416.16,734.44,1560.183,774.703,1399.31,1214.797,1074.537,472.608,503.379,4617.832,4326.546,3344.55309090909,3261.60386436719,0.975198711371225
"b3568","xylH",2673.474,1549.407,2213.326,4659.631,3371.091,7449.872,3754.747,6670.134,383.611,666.518,2348.461,4063.48,623.178,1179.942,688.828,1280.064,505.126,496.448,336.043,287.118,2959.217,2975.672,2324.33581818182,1807.01916902457,0.777434635257694
"b3569","xylR",3109.571,2170.031,2823.952,3636.916,4385.422,8692.166,4909.975,8070.823,972.8,1051.33,2132.012,2241.114,956.088,1110.505,930.589,1168.142,1227.494,1294.788,458.094,479.205,4371.765,4445.1,2756.26736363636,1998.88718785997,0.725215272738571
"b3570","bax",3721.065,5414.078,6803.21,3350.127,11894.442,7869.193,11694.155,7582.721,2756.267,1642.298,4374.796,2440.566,1720.963,680.759,1583.06,693.379,1818.458,2517.018,1161.682,1387.238,5780.586,5116.707,4181.944,2434.85775560567,0.582231076170717
"b3571","malS",2787.005,2140.156,2661.456,3506.947,4250.745,9624.527,4662.862,7116.736,1565.6,1700.213,2371.362,2557.467,839.857,1541.373,351.895,686.445,2981.867,1937.526,1146.484,700.869,4633.864,4039.609,2900.22113636364,1895.29728660974,0.653500956477447
"b3572","avtA",5595.301,4090.326,5372.955,5786.599,9678.045,10495.622,9267.728,8090.426,1651.43,2254.357,2885.289,3452.678,936.737,1135.018,880.086,836.661,1811.539,1771.8,950.472,987.406,4769.096,4635.47,3969.77459090909,2470.8350579848,0.62241192828507
"b3573","ysaA",2269.25,1959.134,2884.289,2986.003,4511.839,5122.03,4081.829,5195.331,1340.913,1514.893,2882.29,2942.853,722.073,1068.966,661.455,773.094,599.244,681.703,585.084,575.83,4302.621,4874.37,2387.95881818182,1373.47863958763,0.575168478254323
